Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
4,120175,08/28/2013,2622,252456-1,252456-1,08/13G,08/28/2013,252456-1,100,3990,"","","",0,63.04
1,120175,08/28/2013,2538,252457-1,252457-1,08/13G,08/28/2013,252457-1,300,1201,"","","",0,157.6
2,120175,08/28/2013,2538,252457-1,252457-1,08/13G,08/28/2013,252457-1,100,1000,"","","",157.6,0
3,120175,08/28/2013,2538,252457-1,252457-1,08/13G,08/28/2013,252457-1,300,3990,"","","",157.6,0
4,120175,08/28/2013,2538,252457-1,252457-1,08/13G,08/28/2013,252457-1,100,3990,"","","",0,157.6
1,120175,08/28/2013,2895,252458-1,252458-1,08/13G,08/28/2013,252458-1,300,1201,"","","",0,126.08
2,120175,08/28/2013,2895,252458-1,252458-1,08/13G,08/28/2013,252458-1,100,1000,"","","",126.08,0
3,120175,08/28/2013,2895,252458-1,252458-1,08/13G,08/28/2013,252458-1,300,3990,"","","",126.08,0
4,120175,08/28/2013,2895,252458-1,252458-1,08/13G,08/28/2013,252458-1,100,3990,"","","",0,126.08
1,120175,08/28/2013,2895,252459-1,252459-1,08/13G,08/28/2013,252459-1,300,1201,"","","",0,252.16
2,120175,08/28/2013,2895,252459-1,252459-1,08/13G,08/28/2013,252459-1,100,1000,"","","",252.16,0
3,120175,08/28/2013,2895,252459-1,252459-1,08/13G,08/28/2013,252459-1,300,3990,"","","",252.16,0
4,120175,08/28/2013,2895,252459-1,252459-1,08/13G,08/28/2013,252459-1,100,3990,"","","",0,252.16
1,120175,08/28/2013,2682,252461-1,252461-1,08/13G,08/28/2013,252461-1,300,1201,"","","",0,351.96
2,120175,08/28/2013,2682,252461-1,252461-1,08/13G,08/28/2013,252461-1,100,1000,"","","",351.96,0
3,120175,08/28/2013,2682,252461-1,252461-1,08/13G,08/28/2013,252461-1,300,3990,"","","",351.96,0
4,120175,08/28/2013,2682,252461-1,252461-1,08/13G,08/28/2013,252461-1,100,3990,"","","",0,351.96
1,120175,08/28/2013,1345,252462-1,252462-1,08/13G,08/28/2013,252462-1,300,1201,"","","",0,882.56
2,120175,08/28/2013,1345,252462-1,252462-1,08/13G,08/28/2013,252462-1,100,1000,"","","",882.56,0
3,120175,08/28/2013,1345,252462-1,252462-1,08/13G,08/28/2013,252462-1,300,3990,"","","",882.56,0
4,120175,08/28/2013,1345,252462-1,252462-1,08/13G,08/28/2013,252462-1,100,3990,"","","",0,882.56
1,120175,08/28/2013,2252,252463-1,252463-1,08/13G,08/28/2013,252463-1,300,1201,"","","",0,646.16
2,120175,08/28/2013,2252,252463-1,252463-1,08/13G,08/28/2013,252463-1,100,1000,"","","",646.16,0
3,120175,08/28/2013,2252,252463-1,252463-1,08/13G,08/28/2013,252463-1,300,3990,"","","",646.16,0
4,120175,08/28/2013,2252,252463-1,252463-1,08/13G,08/28/2013,252463-1,100,3990,"","","",0,646.16
1,120175,08/28/2013,2683,252464-1,252464-1,08/13G,08/28/2013,252464-1,300,1201,"","","",0,1071.68
2,120175,08/28/2013,2683,252464-1,252464-1,08/13G,08/28/2013,252464-1,100,1000,"","","",1071.68,0
3,120175,08/28/2013,2683,252464-1,252464-1,08/13G,08/28/2013,252464-1,300,3990,"","","",1071.68,0
4,120175,08/28/2013,2683,252464-1,252464-1,08/13G,08/28/2013,252464-1,100,3990,"","","",0,1071.68
1,120175,08/28/2013,2523,252465-1,252465-1,08/13G,08/28/2013,252465-1,300,1201,"","","",0,472.8
2,120175,08/28/2013,2523,252465-1,252465-1,08/13G,08/28/2013,252465-1,100,1000,"","","",472.8,0
3,120175,08/28/2013,2523,252465-1,252465-1,08/13G,08/28/2013,252465-1,300,3990,"","","",472.8,0
4,120175,08/28/2013,2523,252465-1,252465-1,08/13G,08/28/2013,252465-1,100,3990,"","","",0,472.8
1,120175,08/28/2013,2539,252466-1,252466-1,08/13G,08/28/2013,252466-1,300,1201,"","","",0,1118.96
2,120175,08/28/2013,2539,252466-1,252466-1,08/13G,08/28/2013,252466-1,100,1000,"","","",1118.96,0
3,120175,08/28/2013,2539,252466-1,252466-1,08/13G,08/28/2013,252466-1,300,3990,"","","",1118.96,0
4,120175,08/28/2013,2539,252466-1,252466-1,08/13G,08/28/2013,252466-1,100,3990,"","","",0,1118.96
1,120175,08/28/2013,2684,252467-1,252467-1,08/13G,08/28/2013,252467-1,300,1201,"","","",0,141.84
2,120175,08/28/2013,2684,252467-1,252467-1,08/13G,08/28/2013,252467-1,100,1000,"","","",141.84,0
3,120175,08/28/2013,2684,252467-1,252467-1,08/13G,08/28/2013,252467-1,300,3990,"","","",141.84,0
4,120175,08/28/2013,2684,252467-1,252467-1,08/13G,08/28/2013,252467-1,100,3990,"","","",0,141.84
1,120175,08/28/2013,2638,252468-1,252468-1,08/13G,08/28/2013,252468-1,300,1201,"","","",0,551.6
2,120175,08/28/2013,2638,252468-1,252468-1,08/13G,08/28/2013,252468-1,100,1000,"","","",551.6,0
3,120175,08/28/2013,2638,252468-1,252468-1,08/13G,08/28/2013,252468-1,300,3990,"","","",551.6,0
4,120175,08/28/2013,2638,252468-1,252468-1,08/13G,08/28/2013,252468-1,100,3990,"","","",0,551.6
1,120175,08/28/2013,2504,252469-1,252469-1,08/13G,08/28/2013,252469-1,300,1201,"","","",0,472.8
2,120175,08/28/2013,2504,252469-1,252469-1,08/13G,08/28/2013,252469-1,100,1000,"","","",472.8,0
3,120175,08/28/2013,2504,252469-1,252469-1,08/13G,08/28/2013,252469-1,300,3990,"","","",472.8,0
4,120175,08/28/2013,2504,252469-1,252469-1,08/13G,08/28/2013,252469-1,100,3990,"","","",0,472.8
1,120175,08/28/2013,2946,252470-1,252470-1,08/13G,08/28/2013,252470-1,300,1201,"","","",0,1591.76
2,120175,08/28/2013,2946,252470-1,252470-1,08/13G,08/28/2013,252470-1,100,1000,"","","",1591.76,0
3,120175,08/28/2013,2946,252470-1,252470-1,08/13G,08/28/2013,252470-1,300,3990,"","","",1591.76,0
4,120175,08/28/2013,2946,252470-1,252470-1,08/13G,08/28/2013,252470-1,100,3990,"","","",0,1591.76
1,120175,08/28/2013,1418,252471-1,252471-1,08/13G,08/28/2013,252471-1,300,1201,"","","",0,378.24
2,120175,08/28/2013,1418,252471-1,252471-1,08/13G,08/28/2013,252471-1,100,1000,"","","",378.24,0
3,120175,08/28/2013,1418,252471-1,252471-1,08/13G,08/28/2013,252471-1,300,3990,"","","",378.24,0
