Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
1,2065177,08/29/2013,2884,252682-1,252682-1,08/13UHC,08/29/2013,252682-1,500,1213,"","","",0,960.96
2,2065177,08/29/2013,2884,252682-1,252682-1,08/13UHC,08/29/2013,252682-1,100,1000,"","","",960.96,0
3,2065177,08/29/2013,2884,252682-1,252682-1,08/13UHC,08/29/2013,252682-1,500,3990,"","","",960.96,0
4,2065177,08/29/2013,2884,252682-1,252682-1,08/13UHC,08/29/2013,252682-1,100,3990,"","","",0,960.96
1,2065177,08/29/2013,2607,252683-1,252683-1,08/13UHC,08/29/2013,252683-1,500,1213,"","","",0,1441.44
2,2065177,08/29/2013,2607,252683-1,252683-1,08/13UHC,08/29/2013,252683-1,100,1000,"","","",1441.44,0
3,2065177,08/29/2013,2607,252683-1,252683-1,08/13UHC,08/29/2013,252683-1,500,3990,"","","",1441.44,0
4,2065177,08/29/2013,2607,252683-1,252683-1,08/13UHC,08/29/2013,252683-1,100,3990,"","","",0,1441.44
1,2065177,08/29/2013,1939,252684-1,252684-1,08/13UHC,08/29/2013,252684-1,500,1213,"","","",0,909.48
2,2065177,08/29/2013,1939,252684-1,252684-1,08/13UHC,08/29/2013,252684-1,100,1000,"","","",909.48,0
3,2065177,08/29/2013,1939,252684-1,252684-1,08/13UHC,08/29/2013,252684-1,500,3990,"","","",909.48,0
4,2065177,08/29/2013,1939,252684-1,252684-1,08/13UHC,08/29/2013,252684-1,100,3990,"","","",0,909.48
1,2065177,08/29/2013,2885,252685-1,252685-1,08/13UHC,08/29/2013,252685-1,500,1213,"","","",0,326.04
2,2065177,08/29/2013,2885,252685-1,252685-1,08/13UHC,08/29/2013,252685-1,100,1000,"","","",326.04,0
3,2065177,08/29/2013,2885,252685-1,252685-1,08/13UHC,08/29/2013,252685-1,500,3990,"","","",326.04,0
4,2065177,08/29/2013,2885,252685-1,252685-1,08/13UHC,08/29/2013,252685-1,100,3990,"","","",0,326.04
1,2065177,08/29/2013,1940,252686-1,252686-1,08/13UHC,08/29/2013,252686-1,500,1213,"","","",0,960.96
2,2065177,08/29/2013,1940,252686-1,252686-1,08/13UHC,08/29/2013,252686-1,100,1000,"","","",960.96,0
3,2065177,08/29/2013,1940,252686-1,252686-1,08/13UHC,08/29/2013,252686-1,500,3990,"","","",960.96,0
4,2065177,08/29/2013,1940,252686-1,252686-1,08/13UHC,08/29/2013,252686-1,100,3990,"","","",0,960.96
1,2065177,08/29/2013,1936,253860,253860,08/13UHC,08/29/2013,253860,500,1213,"","","",0,1201.2
2,2065177,08/29/2013,1936,253860,253860,08/13UHC,08/29/2013,253860,100,1000,"","","",1201.2,0
3,2065177,08/29/2013,1936,253860,253860,08/13UHC,08/29/2013,253860,500,3990,"","","",1201.2,0
4,2065177,08/29/2013,1936,253860,253860,08/13UHC,08/29/2013,253860,100,3990,"","","",0,1201.2
