Seq,Receipt,post_date,other id,invoice,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
2,90000272566,09/13/2013,,256263,256263,09/13HFS,09/13/2013,256263,100,1000,"","","",945.28,0
3,90000272566,09/13/2013,,256263,256263,09/13HFS,09/13/2013,256263,500,3990,"","","",945.28,0
4,90000272566,09/13/2013,,256263,256263,09/13HFS,09/13/2013,256263,100,3990,"","","",0,945.28
1,90000272566,09/13/2013,,256264,256264,09/13HFS,09/13/2013,256264,500,1218,"","","",0,185.68
2,90000272566,09/13/2013,,256264,256264,09/13HFS,09/13/2013,256264,100,1000,"","","",185.68,0
3,90000272566,09/13/2013,,256264,256264,09/13HFS,09/13/2013,256264,500,3990,"","","",185.68,0
4,90000272566,09/13/2013,,256264,256264,09/13HFS,09/13/2013,256264,100,3990,"","","",0,185.68
1,90000272566,09/13/2013,,256267,256267,09/13HFS,09/13/2013,256267,500,1218,"","","",0,84.4
2,90000272566,09/13/2013,,256267,256267,09/13HFS,09/13/2013,256267,100,1000,"","","",84.4,0
3,90000272566,09/13/2013,,256267,256267,09/13HFS,09/13/2013,256267,500,3990,"","","",84.4,0
4,90000272566,09/13/2013,,256267,256267,09/13HFS,09/13/2013,256267,100,3990,"","","",0,84.4
1,90000272566,09/13/2013,,256268,256268,09/13HFS,09/13/2013,256268,500,1218,"","","",0,590.8
2,90000272566,09/13/2013,,256268,256268,09/13HFS,09/13/2013,256268,100,1000,"","","",590.8,0
3,90000272566,09/13/2013,,256268,256268,09/13HFS,09/13/2013,256268,500,3990,"","","",590.8,0
4,90000272566,09/13/2013,,256268,256268,09/13HFS,09/13/2013,256268,100,3990,"","","",0,590.8
1,90000272566,09/13/2013,,256269,256269,09/13HFS,09/13/2013,256269,500,1218,"","","",0,658.32
2,90000272566,09/13/2013,,256269,256269,09/13HFS,09/13/2013,256269,100,1000,"","","",658.32,0
3,90000272566,09/13/2013,,256269,256269,09/13HFS,09/13/2013,256269,500,3990,"","","",658.32,0
4,90000272566,09/13/2013,,256269,256269,09/13HFS,09/13/2013,256269,100,3990,"","","",0,658.32
1,90000272566,09/13/2013,,256272,256272,09/13HFS,09/13/2013,256272,500,1218,"","","",0,1485.44
2,90000272566,09/13/2013,,256272,256272,09/13HFS,09/13/2013,256272,100,1000,"","","",1485.44,0
3,90000272566,09/13/2013,,256272,256272,09/13HFS,09/13/2013,256272,500,3990,"","","",1485.44,0
4,90000272566,09/13/2013,,256272,256272,09/13HFS,09/13/2013,256272,100,3990,"","","",0,1485.44
1,90000272566,09/13/2013,,256273,256273,09/13HFS,09/13/2013,256273,500,1218,"","","",0,1164.72
2,90000272566,09/13/2013,,256273,256273,09/13HFS,09/13/2013,256273,100,1000,"","","",1164.72,0
3,90000272566,09/13/2013,,256273,256273,09/13HFS,09/13/2013,256273,500,3990,"","","",1164.72,0
4,90000272566,09/13/2013,,256273,256273,09/13HFS,09/13/2013,256273,100,3990,"","","",0,1164.72
1,90000272566,09/13/2013,,256274,256274,09/13HFS,09/13/2013,256274,500,1218,"","","",0,708.96
2,90000272566,09/13/2013,,256274,256274,09/13HFS,09/13/2013,256274,100,1000,"","","",708.96,0
3,90000272566,09/13/2013,,256274,256274,09/13HFS,09/13/2013,256274,500,3990,"","","",708.96,0
4,90000272566,09/13/2013,,256274,256274,09/13HFS,09/13/2013,256274,100,3990,"","","",0,708.96
1,90000272566,09/13/2013,,256275,256275,09/13HFS,09/13/2013,256275,500,1218,"","","",0,1417.92
2,90000272566,09/13/2013,,256275,256275,09/13HFS,09/13/2013,256275,100,1000,"","","",1417.92,0
3,90000272566,09/13/2013,,256275,256275,09/13HFS,09/13/2013,256275,500,3990,"","","",1417.92,0
4,90000272566,09/13/2013,,256275,256275,09/13HFS,09/13/2013,256275,100,3990,"","","",0,1417.92
1,90000272566,09/13/2013,,256277,256277,09/13HFS,09/13/2013,256277,500,1218,"","","",0,354.48
2,90000272566,09/13/2013,,256277,256277,09/13HFS,09/13/2013,256277,100,1000,"","","",354.48,0
3,90000272566,09/13/2013,,256277,256277,09/13HFS,09/13/2013,256277,500,3990,"","","",354.48,0
4,90000272566,09/13/2013,,256277,256277,09/13HFS,09/13/2013,256277,100,3990,"","","",0,354.48
1,90000272566,09/13/2013,,256279,256279,09/13HFS,09/13/2013,256279,500,1218,"","","",0,388.24
2,90000272566,09/13/2013,,256279,256279,09/13HFS,09/13/2013,256279,100,1000,"","","",388.24,0
3,90000272566,09/13/2013,,256279,256279,09/13HFS,09/13/2013,256279,500,3990,"","","",388.24,0
4,90000272566,09/13/2013,,256279,256279,09/13HFS,09/13/2013,256279,100,3990,"","","",0,388.24
1,90000272566,09/13/2013,,256280,256280,09/13HFS,09/13/2013,256280,500,1218,"","","",0,337.6
2,90000272566,09/13/2013,,256280,256280,09/13HFS,09/13/2013,256280,100,1000,"","","",337.6,0
3,90000272566,09/13/2013,,256280,256280,09/13HFS,09/13/2013,256280,500,3990,"","","",337.6,0
4,90000272566,09/13/2013,,256280,256280,09/13HFS,09/13/2013,256280,100,3990,"","","",0,337.6
1,90000272566,09/13/2013,,256283,256283,09/13HFS,09/13/2013,256283,500,1218,"","","",0,1147.84
2,90000272566,09/13/2013,,256283,256283,09/13HFS,09/13/2013,256283,100,1000,"","","",1147.84,0
3,90000272566,09/13/2013,,256283,256283,09/13HFS,09/13/2013,256283,500,3990,"","","",1147.84,0
4,90000272566,09/13/2013,,256283,256283,09/13HFS,09/13/2013,256283,100,3990,"","","",0,1147.84
1,90000272566,09/13/2013,,256284,256284,09/13HFS,09/13/2013,256284,500,1218,"","","",0,675.2
2,90000272566,09/13/2013,,256284,256284,09/13HFS,09/13/2013,256284,100,1000,"","","",675.2,0
3,90000272566,09/13/2013,,256284,256284,09/13HFS,09/13/2013,256284,500,3990,"","","",675.2,0
4,90000272566,09/13/2013,,256284,256284,09/13HFS,09/13/2013,256284,100,3990,"","","",0,675.2
1,90000272566,09/13/2013,,256285,256285,09/13HFS,09/13/2013,256285,500,1218,"","","",0,1147.84
2,90000272566,09/13/2013,,256285,256285,09/13HFS,09/13/2013,256285,100,1000,"","","",1147.84,0
3,90000272566,09/13/2013,,256285,256285,09/13HFS,09/13/2013,256285,500,3990,"","","",1147.84,0
4,90000272566,09/13/2013,,256285,256285,09/13HFS,09/13/2013,256285,100,3990,"","","",0,1147.84
1,90000272566,09/13/2013,,256286,256286,09/13HFS,09/13/2013,256286,500,1218,"","","",0,1417.92
2,90000272566,09/13/2013,,256286,256286,09/13HFS,09/13/2013,256286,100,1000,"","","",1417.92,0
3,90000272566,09/13/2013,,256286,256286,09/13HFS,09/13/2013,256286,500,3990,"","","",1417.92,0
4,90000272566,09/13/2013,,256286,256286,09/13HFS,09/13/2013,256286,100,3990,"","","",0,1417.92
1,90000272566,09/13/2013,,256288,256288,09/13HFS,09/13/2013,256288,500,1218,"","","",0,1046.56
2,90000272566,09/13/2013,,256288,256288,09/13HFS,09/13/2013,256288,100,1000,"","","",1046.56,0
3,90000272566,09/13/2013,,256288,256288,09/13HFS,09/13/2013,256288,500,3990,"","","",1046.56,0
4,90000272566,09/13/2013,,256288,256288,09/13HFS,09/13/2013,256288,100,3990,"","","",0,1046.56
1,90000272566,09/13/2013,,256289,256289,09/13HFS,09/13/2013,256289,500,1218,"","","",0,675.2
2,90000272566,09/13/2013,,256289,256289,09/13HFS,09/13/2013,256289,100,1000,"","","",675.2,0
3,90000272566,09/13/2013,,256289,256289,09/13HFS,09/13/2013,256289,500,3990,"","","",675.2,0
4,90000272566,09/13/2013,,256289,256289,09/13HFS,09/13/2013,256289,100,3990,"","","",0,675.2
1,95000158112,09/13/2013,,258993,258993,09/13HFS,09/13/2013,258993,500,1218,"","","",0,844.0
2,95000158112,09/13/2013,,258993,258993,09/13HFS,09/13/2013,258993,100,1000,"","","",844.0,0
3,95000158112,09/13/2013,,258993,258993,09/13HFS,09/13/2013,258993,500,3990,"","","",844.0,0
4,95000158112,09/13/2013,,258993,258993,09/13HFS,09/13/2013,258993,100,3990,"","","",0,844.0
1,95000158112,09/13/2013,,259006,259006,09/13HFS,09/13/2013,259006,500,1218,"","","",0,337.6
2,95000158112,09/13/2013,,259006,259006,09/13HFS,09/13/2013,259006,100,1000,"","","",337.6,0
3,95000158112,09/13/2013,,259006,259006,09/13HFS,09/13/2013,259006,500,3990,"","","",337.6,0
4,95000158112,09/13/2013,,259006,259006,09/13HFS,09/13/2013,259006,100,3990,"","","",0,337.6
1,95000158112,09/13/2013,,259007,259007,09/13HFS,09/13/2013,259007,500,1218,"","","",0,945.28
2,95000158112,09/13/2013,,259007,259007,09/13HFS,09/13/2013,259007,100,1000,"","","",945.28,0
3,95000158112,09/13/2013,,259007,259007,09/13HFS,09/13/2013,259007,500,3990,"","","",945.28,0
4,95000158112,09/13/2013,,259007,259007,09/13HFS,09/13/2013,259007,100,3990,"","","",0,945.28
1,95000158112,09/13/2013,,259013,259013,09/13HFS,09/13/2013,259013,500,1218,"","","",0,337.6
2,95000158112,09/13/2013,,259013,259013,09/13HFS,09/13/2013,259013,100,1000,"","","",337.6,0
3,95000158112,09/13/2013,,259013,259013,09/13HFS,09/13/2013,259013,500,3990,"","","",337.6,0
4,95000158112,09/13/2013,,259013,259013,09/13HFS,09/13/2013,259013,100,3990,"","","",0,337.6
