Seq,Receipt,post_date,other id,invoice,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
4,98000005049,09/13/2013,,255555,255555,09/13SHP,09/13/2013,255555,100,3990,"","","",0,469.92
1,98000005049,09/13/2013,,255556,255556,09/13SHP,09/13/2013,255556,300,1204,"","","",0,1922.4
2,98000005049,09/13/2013,,255556,255556,09/13SHP,09/13/2013,255556,100,1000,"","","",1922.4,0
3,98000005049,09/13/2013,,255556,255556,09/13SHP,09/13/2013,255556,300,3990,"","","",1922.4,0
4,98000005049,09/13/2013,,255556,255556,09/13SHP,09/13/2013,255556,100,3990,"","","",0,1922.4
1,98000005049,09/13/2013,,255557,255557,09/13SHP,09/13/2013,255557,300,1204,"","","",0,583.84
2,98000005049,09/13/2013,,255557,255557,09/13SHP,09/13/2013,255557,100,1000,"","","",583.84,0
3,98000005049,09/13/2013,,255557,255557,09/13SHP,09/13/2013,255557,300,3990,"","","",583.84,0
4,98000005049,09/13/2013,,255557,255557,09/13SHP,09/13/2013,255557,100,3990,"","","",0,583.84
1,98000005049,09/13/2013,,255559,255559,09/13SHP,09/13/2013,255559,300,1204,"","","",0,600.0
2,98000005049,09/13/2013,,255559,255559,09/13SHP,09/13/2013,255559,100,1000,"","","",600.0,0
3,98000005049,09/13/2013,,255559,255559,09/13SHP,09/13/2013,255559,300,3990,"","","",600.0,0
4,98000005049,09/13/2013,,255559,255559,09/13SHP,09/13/2013,255559,100,3990,"","","",0,600.0
1,98000005049,09/13/2013,,255560,255560,09/13SHP,09/13/2013,255560,300,1204,"","","",0,170.88
2,98000005049,09/13/2013,,255560,255560,09/13SHP,09/13/2013,255560,100,1000,"","","",170.88,0
3,98000005049,09/13/2013,,255560,255560,09/13SHP,09/13/2013,255560,300,3990,"","","",170.88,0
4,98000005049,09/13/2013,,255560,255560,09/13SHP,09/13/2013,255560,100,3990,"","","",0,170.88
1,98000005049,09/13/2013,,255561,255561,09/13SHP,09/13/2013,255561,300,1204,"","","",0,113.92
2,98000005049,09/13/2013,,255561,255561,09/13SHP,09/13/2013,255561,100,1000,"","","",113.92,0
3,98000005049,09/13/2013,,255561,255561,09/13SHP,09/13/2013,255561,300,3990,"","","",113.92,0
4,98000005049,09/13/2013,,255561,255561,09/13SHP,09/13/2013,255561,100,3990,"","","",0,113.92
1,98000005049,09/13/2013,,255563,255563,09/13SHP,09/13/2013,255563,300,1204,"","","",0,356.0
2,98000005049,09/13/2013,,255563,255563,09/13SHP,09/13/2013,255563,100,1000,"","","",356.0,0
3,98000005049,09/13/2013,,255563,255563,09/13SHP,09/13/2013,255563,300,3990,"","","",356.0,0
4,98000005049,09/13/2013,,255563,255563,09/13SHP,09/13/2013,255563,100,3990,"","","",0,356.0
1,98000005049,09/13/2013,,255564,255564,09/13SHP,09/13/2013,255564,300,1204,"","","",0,569.6
2,98000005049,09/13/2013,,255564,255564,09/13SHP,09/13/2013,255564,100,1000,"","","",569.6,0
3,98000005049,09/13/2013,,255564,255564,09/13SHP,09/13/2013,255564,300,3990,"","","",569.6,0
4,98000005049,09/13/2013,,255564,255564,09/13SHP,09/13/2013,255564,100,3990,"","","",0,569.6
1,98000005049,09/13/2013,,255565,255565,09/13SHP,09/13/2013,255565,300,1204,"","","",0,1196.16
2,98000005049,09/13/2013,,255565,255565,09/13SHP,09/13/2013,255565,100,1000,"","","",1196.16,0
3,98000005049,09/13/2013,,255565,255565,09/13SHP,09/13/2013,255565,300,3990,"","","",1196.16,0
4,98000005049,09/13/2013,,255565,255565,09/13SHP,09/13/2013,255565,100,3990,"","","",0,1196.16
1,98000005049,09/13/2013,,255567,255567,09/13SHP,09/13/2013,255567,300,1204,"","","",0,284.8
2,98000005049,09/13/2013,,255567,255567,09/13SHP,09/13/2013,255567,100,1000,"","","",284.8,0
3,98000005049,09/13/2013,,255567,255567,09/13SHP,09/13/2013,255567,300,3990,"","","",284.8,0
4,98000005049,09/13/2013,,255567,255567,09/13SHP,09/13/2013,255567,100,3990,"","","",0,284.8
1,98000005049,09/13/2013,,255569,255569,09/13SHP,09/13/2013,255569,300,1204,"","","",0,398.72
2,98000005049,09/13/2013,,255569,255569,09/13SHP,09/13/2013,255569,100,1000,"","","",398.72,0
3,98000005049,09/13/2013,,255569,255569,09/13SHP,09/13/2013,255569,300,3990,"","","",398.72,0
4,98000005049,09/13/2013,,255569,255569,09/13SHP,09/13/2013,255569,100,3990,"","","",0,398.72
1,98000005049,09/13/2013,,255570,255570,09/13SHP,09/13/2013,255570,300,1204,"","","",0,256.32
2,98000005049,09/13/2013,,255570,255570,09/13SHP,09/13/2013,255570,100,1000,"","","",256.32,0
3,98000005049,09/13/2013,,255570,255570,09/13SHP,09/13/2013,255570,300,3990,"","","",256.32,0
4,98000005049,09/13/2013,,255570,255570,09/13SHP,09/13/2013,255570,100,3990,"","","",0,256.32
1,98000005049,09/13/2013,,255571,255571,09/13SHP,09/13/2013,255571,300,1204,"","","",0,526.88
2,98000005049,09/13/2013,,255571,255571,09/13SHP,09/13/2013,255571,100,1000,"","","",526.88,0
3,98000005049,09/13/2013,,255571,255571,09/13SHP,09/13/2013,255571,300,3990,"","","",526.88,0
4,98000005049,09/13/2013,,255571,255571,09/13SHP,09/13/2013,255571,100,3990,"","","",0,526.88
1,98000005049,09/13/2013,,255572,255572,09/13SHP,09/13/2013,255572,300,1204,"","","",0,113.92
2,98000005049,09/13/2013,,255572,255572,09/13SHP,09/13/2013,255572,100,1000,"","","",113.92,0
3,98000005049,09/13/2013,,255572,255572,09/13SHP,09/13/2013,255572,300,3990,"","","",113.92,0
4,98000005049,09/13/2013,,255572,255572,09/13SHP,09/13/2013,255572,100,3990,"","","",0,113.92
1,98000005049,09/13/2013,,255573,255573,09/13SHP,09/13/2013,255573,300,1204,"","","",0,1000.0
2,98000005049,09/13/2013,,255573,255573,09/13SHP,09/13/2013,255573,100,1000,"","","",1000.0,0
3,98000005049,09/13/2013,,255573,255573,09/13SHP,09/13/2013,255573,300,3990,"","","",1000.0,0
4,98000005049,09/13/2013,,255573,255573,09/13SHP,09/13/2013,255573,100,3990,"","","",0,1000.0
1,98000005049,09/13/2013,,255574,255574,09/13SHP,09/13/2013,255574,300,1204,"","","",0,398.72
2,98000005049,09/13/2013,,255574,255574,09/13SHP,09/13/2013,255574,100,1000,"","","",398.72,0
3,98000005049,09/13/2013,,255574,255574,09/13SHP,09/13/2013,255574,300,3990,"","","",398.72,0
4,98000005049,09/13/2013,,255574,255574,09/13SHP,09/13/2013,255574,100,3990,"","","",0,398.72
1,98000005049,09/13/2013,,255575,255575,09/13SHP,09/13/2013,255575,300,1204,"","","",0,854.4
2,98000005049,09/13/2013,,255575,255575,09/13SHP,09/13/2013,255575,100,1000,"","","",854.4,0
3,98000005049,09/13/2013,,255575,255575,09/13SHP,09/13/2013,255575,300,3990,"","","",854.4,0
4,98000005049,09/13/2013,,255575,255575,09/13SHP,09/13/2013,255575,100,3990,"","","",0,854.4
1,98000005049,09/13/2013,,255578,255578,09/13SHP,09/13/2013,255578,300,1204,"","","",0,1139.2
2,98000005049,09/13/2013,,255578,255578,09/13SHP,09/13/2013,255578,100,1000,"","","",1139.2,0
3,98000005049,09/13/2013,,255578,255578,09/13SHP,09/13/2013,255578,300,3990,"","","",1139.2,0
4,98000005049,09/13/2013,,255578,255578,09/13SHP,09/13/2013,255578,100,3990,"","","",0,1139.2
1,98000005049,09/13/2013,,255579,255579,09/13SHP,09/13/2013,255579,300,1204,"","","",0,626.56
2,98000005049,09/13/2013,,255579,255579,09/13SHP,09/13/2013,255579,100,1000,"","","",626.56,0
3,98000005049,09/13/2013,,255579,255579,09/13SHP,09/13/2013,255579,300,3990,"","","",626.56,0
4,98000005049,09/13/2013,,255579,255579,09/13SHP,09/13/2013,255579,100,3990,"","","",0,626.56
1,98000005049,09/13/2013,,255580,255580,09/13SHP,09/13/2013,255580,300,1204,"","","",0,113.92
2,98000005049,09/13/2013,,255580,255580,09/13SHP,09/13/2013,255580,100,1000,"","","",113.92,0
3,98000005049,09/13/2013,,255580,255580,09/13SHP,09/13/2013,255580,300,3990,"","","",113.92,0
4,98000005049,09/13/2013,,255580,255580,09/13SHP,09/13/2013,255580,100,3990,"","","",0,113.92
1,98000005049,09/13/2013,,255581,255581,09/13SHP,09/13/2013,255581,300,1204,"","","",0,227.84
2,98000005049,09/13/2013,,255581,255581,09/13SHP,09/13/2013,255581,100,1000,"","","",227.84,0
3,98000005049,09/13/2013,,255581,255581,09/13SHP,09/13/2013,255581,300,3990,"","","",227.84,0
4,98000005049,09/13/2013,,255581,255581,09/13SHP,09/13/2013,255581,100,3990,"","","",0,227.84
1,98000005049,09/13/2013,,255584,255584,09/13SHP,09/13/2013,255584,300,1204,"","","",0,113.92
2,98000005049,09/13/2013,,255584,255584,09/13SHP,09/13/2013,255584,100,1000,"","","",113.92,0
3,98000005049,09/13/2013,,255584,255584,09/13SHP,09/13/2013,255584,300,3990,"","","",113.92,0
4,98000005049,09/13/2013,,255584,255584,09/13SHP,09/13/2013,255584,100,3990,"","","",0,113.92
1,98000005049,09/13/2013,,255585,255585,09/13SHP,09/13/2013,255585,300,1204,"","","",0,569.6
2,98000005049,09/13/2013,,255585,255585,09/13SHP,09/13/2013,255585,100,1000,"","","",569.6,0
3,98000005049,09/13/2013,,255585,255585,09/13SHP,09/13/2013,255585,300,3990,"","","",569.6,0
4,98000005049,09/13/2013,,255585,255585,09/13SHP,09/13/2013,255585,100,3990,"","","",0,569.6
1,98000005049,09/13/2013,,255586,255586,09/13SHP,09/13/2013,255586,300,1204,"","","",0,113.92
2,98000005049,09/13/2013,,255586,255586,09/13SHP,09/13/2013,255586,100,1000,"","","",113.92,0
3,98000005049,09/13/2013,,255586,255586,09/13SHP,09/13/2013,255586,300,3990,"","","",113.92,0
4,98000005049,09/13/2013,,255586,255586,09/13SHP,09/13/2013,255586,100,3990,"","","",0,113.92
1,98000005049,09/13/2013,,255587,255587,09/13SHP,09/13/2013,255587,300,1204,"","","",0,170.88
2,98000005049,09/13/2013,,255587,255587,09/13SHP,09/13/2013,255587,100,1000,"","","",170.88,0
3,98000005049,09/13/2013,,255587,255587,09/13SHP,09/13/2013,255587,300,3990,"","","",170.88,0
4,98000005049,09/13/2013,,255587,255587,09/13SHP,09/13/2013,255587,100,3990,"","","",0,170.88
1,98000005049,09/13/2013,,255588,255588,09/13SHP,09/13/2013,255588,300,1204,"","","",0,56.96
2,98000005049,09/13/2013,,255588,255588,09/13SHP,09/13/2013,255588,100,1000,"","","",56.96,0
3,98000005049,09/13/2013,,255588,255588,09/13SHP,09/13/2013,255588,300,3990,"","","",56.96,0
4,98000005049,09/13/2013,,255588,255588,09/13SHP,09/13/2013,255588,100,3990,"","","",0,56.96
1,98000005049,09/13/2013,,255589,255589,09/13SHP,09/13/2013,255589,300,1204,"","","",0,170.88
2,98000005049,09/13/2013,,255589,255589,09/13SHP,09/13/2013,255589,100,1000,"","","",170.88,0
3,98000005049,09/13/2013,,255589,255589,09/13SHP,09/13/2013,255589,300,3990,"","","",170.88,0
4,98000005049,09/13/2013,,255589,255589,09/13SHP,09/13/2013,255589,100,3990,"","","",0,170.88
1,98000005049,09/13/2013,,255541,255541,09/13SHP,09/13/2013,255541,300,1204,"","","",0,56.96
2,98000005049,09/13/2013,,255541,255541,09/13SHP,09/13/2013,255541,100,1000,"","","",56.96,0
3,98000005049,09/13/2013,,255541,255541,09/13SHP,09/13/2013,255541,300,3990,"","","",56.96,0
4,98000005049,09/13/2013,,255541,255541,09/13SHP,09/13/2013,255541,100,3990,"","","",0,56.96
1,98000005049,09/13/2013,,255548,255548,09/13SHP,09/13/2013,255548,300,1204,"","","",0,85.44
2,98000005049,09/13/2013,,255548,255548,09/13SHP,09/13/2013,255548,100,1000,"","","",85.44,0
3,98000005049,09/13/2013,,255548,255548,09/13SHP,09/13/2013,255548,300,3990,"","","",85.44,0
4,98000005049,09/13/2013,,255548,255548,09/13SHP,09/13/2013,255548,100,3990,"","","",0,85.44
1,90000272566,09/13/2013,,174251,174251,09/13HFS,09/13/2013,174251,500,1218,"","","",0,945.28
2,90000272566,09/13/2013,,174251,174251,09/13HFS,09/13/2013,174251,100,1000,"","","",945.28,0
3,90000272566,09/13/2013,,174251,174251,09/13HFS,09/13/2013,174251,500,3990,"","","",945.28,0
4,90000272566,09/13/2013,,174251,174251,09/13HFS,09/13/2013,174251,100,3990,"","","",0,945.28
1,90000272566,09/13/2013,,174991,174991,09/13HFS,09/13/2013,174991,500,1218,"","","",0,337.6
2,90000272566,09/13/2013,,174991,174991,09/13HFS,09/13/2013,174991,100,1000,"","","",337.6,0
3,90000272566,09/13/2013,,174991,174991,09/13HFS,09/13/2013,174991,500,3990,"","","",337.6,0
4,90000272566,09/13/2013,,174991,174991,09/13HFS,09/13/2013,174991,100,3990,"","","",0,337.6
1,90000272566,09/13/2013,,175005,175005,09/13HFS,09/13/2013,175005,500,1218,"","","",0,308.7
2,90000272566,09/13/2013,,175005,175005,09/13HFS,09/13/2013,175005,100,1000,"","","",308.7,0
3,90000272566,09/13/2013,,175005,175005,09/13HFS,09/13/2013,175005,500,3990,"","","",308.7,0
4,90000272566,09/13/2013,,175005,175005,09/13HFS,09/13/2013,175005,100,3990,"","","",0,308.7
1,90000272566,09/13/2013,,175006,175006,09/13HFS,09/13/2013,175006,500,1218,"","","",0,337.6
2,90000272566,09/13/2013,,175006,175006,09/13HFS,09/13/2013,175006,100,1000,"","","",337.6,0
3,90000272566,09/13/2013,,175006,175006,09/13HFS,09/13/2013,175006,500,3990,"","","",337.6,0
4,90000272566,09/13/2013,,175006,175006,09/13HFS,09/13/2013,175006,100,3990,"","","",0,337.6
1,90000272566,09/13/2013,,177707,177707,09/13HFS,09/13/2013,177707,500,1218,"","","",0,270.08
2,90000272566,09/13/2013,,177707,177707,09/13HFS,09/13/2013,177707,100,1000,"","","",270.08,0
3,90000272566,09/13/2013,,177707,177707,09/13HFS,09/13/2013,177707,500,3990,"","","",270.08,0
4,90000272566,09/13/2013,,177707,177707,09/13HFS,09/13/2013,177707,100,3990,"","","",0,270.08
1,90000272566,09/13/2013,,176954,176954,09/13HFS,09/13/2013,176954,500,1218,"","","",0,337.6
2,90000272566,09/13/2013,,176954,176954,09/13HFS,09/13/2013,176954,100,1000,"","","",337.6,0
3,90000272566,09/13/2013,,176954,176954,09/13HFS,09/13/2013,176954,500,3990,"","","",337.6,0
4,90000272566,09/13/2013,,176954,176954,09/13HFS,09/13/2013,176954,100,3990,"","","",0,337.6
1,90000272566,09/13/2013,,246397,246397,09/13SHP,09/13/2013,246397,300,1204,"","","",0,793.36
2,90000272566,09/13/2013,,246397,246397,09/13SHP,09/13/2013,246397,100,1000,"","","",793.36,0
3,90000272566,09/13/2013,,246397,246397,09/13SHP,09/13/2013,246397,300,3990,"","","",793.36,0
4,90000272566,09/13/2013,,246397,246397,09/13SHP,09/13/2013,246397,100,3990,"","","",0,793.36
1,90000272566,09/13/2013,,248846,248846,09/13HFS,09/13/2013,248846,500,1218,"","","",0,202.56
2,90000272566,09/13/2013,,248846,248846,09/13HFS,09/13/2013,248846,100,1000,"","","",202.56,0
3,90000272566,09/13/2013,,248846,248846,09/13HFS,09/13/2013,248846,500,3990,"","","",202.56,0
4,90000272566,09/13/2013,,248846,248846,09/13HFS,09/13/2013,248846,100,3990,"","","",0,202.56
1,90000272566,09/13/2013,,248848,248848,09/13HFS,09/13/2013,248848,500,1218,"","","",0,202.56
2,90000272566,09/13/2013,,248848,248848,09/13HFS,09/13/2013,248848,100,1000,"","","",202.56,0
3,90000272566,09/13/2013,,248848,248848,09/13HFS,09/13/2013,248848,500,3990,"","","",202.56,0
4,90000272566,09/13/2013,,248848,248848,09/13HFS,09/13/2013,248848,100,3990,"","","",0,202.56
1,90000272566,09/13/2013,,256245,256245,09/13HFS,09/13/2013,256245,500,1218,"","","",0,945.28
2,90000272566,09/13/2013,,256245,256245,09/13HFS,09/13/2013,256245,100,1000,"","","",945.28,0
3,90000272566,09/13/2013,,256245,256245,09/13HFS,09/13/2013,256245,500,3990,"","","",945.28,0
4,90000272566,09/13/2013,,256245,256245,09/13HFS,09/13/2013,256245,100,3990,"","","",0,945.28
1,90000272566,09/13/2013,,256246,256246,09/13HFS,09/13/2013,256246,500,1218,"","","",0,472.64
2,90000272566,09/13/2013,,256246,256246,09/13HFS,09/13/2013,256246,100,1000,"","","",472.64,0
3,90000272566,09/13/2013,,256246,256246,09/13HFS,09/13/2013,256246,500,3990,"","","",472.64,0
4,90000272566,09/13/2013,,256246,256246,09/13HFS,09/13/2013,256246,100,3990,"","","",0,472.64
1,90000272566,09/13/2013,,256247,256247,09/13HFS,09/13/2013,256247,500,1218,"","","",0,945.28
2,90000272566,09/13/2013,,256247,256247,09/13HFS,09/13/2013,256247,100,1000,"","","",945.28,0
3,90000272566,09/13/2013,,256247,256247,09/13HFS,09/13/2013,256247,500,3990,"","","",945.28,0
4,90000272566,09/13/2013,,256247,256247,09/13HFS,09/13/2013,256247,100,3990,"","","",0,945.28
1,90000272566,09/13/2013,,256248,256248,09/13HFS,09/13/2013,256248,500,1218,"","","",0,911.52
2,90000272566,09/13/2013,,256248,256248,09/13HFS,09/13/2013,256248,100,1000,"","","",911.52,0
3,90000272566,09/13/2013,,256248,256248,09/13HFS,09/13/2013,256248,500,3990,"","","",911.52,0
4,90000272566,09/13/2013,,256248,256248,09/13HFS,09/13/2013,256248,100,3990,"","","",0,911.52
1,90000272566,09/13/2013,,256250,256250,09/13HFS,09/13/2013,256250,500,1218,"","","",0,658.32
2,90000272566,09/13/2013,,256250,256250,09/13HFS,09/13/2013,256250,100,1000,"","","",658.32,0
3,90000272566,09/13/2013,,256250,256250,09/13HFS,09/13/2013,256250,500,3990,"","","",658.32,0
4,90000272566,09/13/2013,,256250,256250,09/13HFS,09/13/2013,256250,100,3990,"","","",0,658.32
1,90000272566,09/13/2013,,256251,256251,09/13HFS,09/13/2013,256251,500,1218,"","","",0,675.2
2,90000272566,09/13/2013,,256251,256251,09/13HFS,09/13/2013,256251,100,1000,"","","",675.2,0
3,90000272566,09/13/2013,,256251,256251,09/13HFS,09/13/2013,256251,500,3990,"","","",675.2,0
4,90000272566,09/13/2013,,256251,256251,09/13HFS,09/13/2013,256251,100,3990,"","","",0,675.2
1,90000272566,09/13/2013,,256252,256252,09/13HFS,09/13/2013,256252,500,1218,"","","",0,135.04
2,90000272566,09/13/2013,,256252,256252,09/13HFS,09/13/2013,256252,100,1000,"","","",135.04,0
3,90000272566,09/13/2013,,256252,256252,09/13HFS,09/13/2013,256252,500,3990,"","","",135.04,0
4,90000272566,09/13/2013,,256252,256252,09/13HFS,09/13/2013,256252,100,3990,"","","",0,135.04
1,90000272566,09/13/2013,,256253,256253,09/13HFS,09/13/2013,256253,500,1218,"","","",0,675.2
2,90000272566,09/13/2013,,256253,256253,09/13HFS,09/13/2013,256253,100,1000,"","","",675.2,0
3,90000272566,09/13/2013,,256253,256253,09/13HFS,09/13/2013,256253,500,3990,"","","",675.2,0
4,90000272566,09/13/2013,,256253,256253,09/13HFS,09/13/2013,256253,100,3990,"","","",0,675.2
1,90000272566,09/13/2013,,256254,256254,09/13HFS,09/13/2013,256254,500,1218,"","","",0,303.84
2,90000272566,09/13/2013,,256254,256254,09/13HFS,09/13/2013,256254,100,1000,"","","",303.84,0
3,90000272566,09/13/2013,,256254,256254,09/13HFS,09/13/2013,256254,500,3990,"","","",303.84,0
4,90000272566,09/13/2013,,256254,256254,09/13HFS,09/13/2013,256254,100,3990,"","","",0,303.84
1,90000272566,09/13/2013,,256255,256255,09/13HFS,09/13/2013,256255,500,1218,"","","",0,303.84
2,90000272566,09/13/2013,,256255,256255,09/13HFS,09/13/2013,256255,100,1000,"","","",303.84,0
3,90000272566,09/13/2013,,256255,256255,09/13HFS,09/13/2013,256255,500,3990,"","","",303.84,0
4,90000272566,09/13/2013,,256255,256255,09/13HFS,09/13/2013,256255,100,3990,"","","",0,303.84
1,90000272566,09/13/2013,,256256,256256,09/13HFS,09/13/2013,256256,500,1218,"","","",0,1620.48
2,90000272566,09/13/2013,,256256,256256,09/13HFS,09/13/2013,256256,100,1000,"","","",1620.48,0
3,90000272566,09/13/2013,,256256,256256,09/13HFS,09/13/2013,256256,500,3990,"","","",1620.48,0
4,90000272566,09/13/2013,,256256,256256,09/13HFS,09/13/2013,256256,100,3990,"","","",0,1620.48
1,90000272566,09/13/2013,,256258,256258,09/13HFS,09/13/2013,256258,500,1218,"","","",0,641.44
2,90000272566,09/13/2013,,256258,256258,09/13HFS,09/13/2013,256258,100,1000,"","","",641.44,0
3,90000272566,09/13/2013,,256258,256258,09/13HFS,09/13/2013,256258,500,3990,"","","",641.44,0
4,90000272566,09/13/2013,,256258,256258,09/13HFS,09/13/2013,256258,100,3990,"","","",0,641.44
1,90000272566,09/13/2013,,256259,256259,09/13HFS,09/13/2013,256259,500,1218,"","","",0,607.68
2,90000272566,09/13/2013,,256259,256259,09/13HFS,09/13/2013,256259,100,1000,"","","",607.68,0
3,90000272566,09/13/2013,,256259,256259,09/13HFS,09/13/2013,256259,500,3990,"","","",607.68,0
4,90000272566,09/13/2013,,256259,256259,09/13HFS,09/13/2013,256259,100,3990,"","","",0,607.68
1,90000272566,09/13/2013,,256260,256260,09/13HFS,09/13/2013,256260,500,1218,"","","",0,67.52
2,90000272566,09/13/2013,,256260,256260,09/13HFS,09/13/2013,256260,100,1000,"","","",67.52,0
3,90000272566,09/13/2013,,256260,256260,09/13HFS,09/13/2013,256260,500,3990,"","","",67.52,0
4,90000272566,09/13/2013,,256260,256260,09/13HFS,09/13/2013,256260,100,3990,"","","",0,67.52
1,90000272566,09/13/2013,,256261,256261,09/13HFS,09/13/2013,256261,500,1218,"","","",0,1181.6
2,90000272566,09/13/2013,,256261,256261,09/13HFS,09/13/2013,256261,100,1000,"","","",1181.6,0
3,90000272566,09/13/2013,,256261,256261,09/13HFS,09/13/2013,256261,500,3990,"","","",1181.6,0
4,90000272566,09/13/2013,,256261,256261,09/13HFS,09/13/2013,256261,100,3990,"","","",0,1181.6
1,90000272566,09/13/2013,,256263,256263,09/13HFS,09/13/2013,256263,500,1218,"","","",0,945.28
